city_id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
318,aldan,93,RU,1597861872,80,58.6,125.39,46.71,5.97
319,panaba,79,MX,1597861874,49,21.28,-88.27,92.28,3.91
320,castro,100,BR,1597861723,96,-24.79,-50.01,51.08,4.43
321,mayo,1,US,1597861877,69,38.89,-76.51,82.0,4.7
322,monetnyy,75,RU,1597861878,100,57.05,60.88,48.2,13.42
323,clyde river,75,CA,1597861878,76,70.47,-68.59,55.4,9.17
324,khani,75,GE,1597861879,83,41.96,42.96,75.2,3.36
325,ostrovnoy,39,RU,1597861743,76,68.05,39.51,50.85,8.75
326,hohhot,2,CN,1597861880,82,40.81,111.65,59.0,4.47
327,harrislee,100,DE,1597861881,53,54.8,9.38,73.4,11.41
328,zhuhai,40,CN,1597861882,88,22.28,113.57,82.4,9.17
329,maloy,40,NO,1597861882,72,61.94,5.11,64.4,6.93
330,praia da vitoria,40,PT,1597861883,53,38.73,-27.07,75.2,13.76
331,hirara,0,JP,1597861704,79,24.8,125.28,84.2,9.26
332,banyo,100,CM,1597861885,91,6.75,11.82,68.04,2.91
333,yulara,0,AU,1597861885,49,-25.24,130.99,46.4,8.05
334,coquimbo,0,CL,1597861881,62,-29.95,-71.34,57.2,12.75
335,fasa,0,IR,1597861887,31,28.94,53.65,87.8,3.24
336,aden,28,YE,1597861692,67,12.78,45.04,86.94,1.23
337,torbay,75,CA,1597861888,77,47.67,-52.73,71.01,21.92
338,saldanha,54,ZA,1597861758,71,-33.01,17.94,51.8,3.36
339,requena,0,ES,1597861889,46,39.49,-1.1,84.99,7.67
340,nalut,4,LY,1597861890,11,30.33,10.85,92.91,5.73
341,taksimo,35,RU,1597861891,73,56.34,114.88,50.05,1.01
342,beringovskiy,92,RU,1597861892,57,63.05,179.32,53.13,4.56
343,pangody,100,RU,1597861743,77,65.85,74.49,60.71,10.6
344,ust-nera,97,RU,1597861685,75,64.57,143.2,45.91,5.86
345,ojinaga,40,MX,1597861895,21,29.57,-104.42,95.0,10.29
346,bintulu,40,MY,1597861897,88,3.17,113.03,80.6,4.7
347,port elizabeth,0,ZA,1597861898,71,-33.92,25.57,53.6,10.29
348,bambous virieux,75,MU,1597861898,68,-20.34,57.76,72.0,14.99
349,haldwani,98,IN,1597861899,76,29.22,79.52,78.6,3.24
350,nome,90,US,1597861900,93,64.5,-165.41,52.0,11.41
351,flinders,70,AU,1597861775,59,-34.58,150.86,54.0,14.0
